ms,474626527,545612828,587079262,320466776,558474375
10,,,,,
8,,,,,
6,,,,,
5,0.3,,,,
4,0.35,,,,
3,0.45,,,,
2,0.65,,,,
1,1.2,,,,
0.8,1.5,,,,
0.6,2,,,,
0.4,3,,,,
0.2,5.95,,,,
0.1,11.9,,,,
0.08,14.9,,,,
0.06,19.75,,,,
0.04,29.65,,,,
0.02,59.3,,,,
