,time,amp,number,rate
0,2.07,1.2437238470778205,0,5_b_
1,2.07,1.2261255283657917,1,5_b_
2,2.27,0.9063954883179219,2,5_b_
3,2.27,0.8953759803990289,3,5_b_
4,2.46,0.7973517662893764,4,5_b_
5,2.66,0.7269585262153087,5,5_b_
6,2.66,0.7263006451251172,6,5_b_
7,2.86,0.7223533777646164,7,5_b_
8,3.06,0.664953266895789,8,5_b_
9,3.25,0.6462036661547448,9,5_b_
10,3.45,0.651302251866737,10,5_b_
11,3.65,0.6108425702518288,11,5_b_
12,3.84,0.6138030391612475,12,5_b_
13,4.04,0.5641330186645344,13,5_b_
14,4.24,0.5680803087721328,14,5_b_
15,4.44,0.5536069250047672,15,5_b_
16,4.63,0.5481794073357329,16,5_b_
17,4.83,0.5356796677274467,17,5_b_
18,5.03,0.5221931052905868,18,5_b_
19,5.23,0.4945620999793087,19,5_b_
20,5.42,0.5093644245125188,20,5_b_
21,5.62,0.5193971112570427,21,5_b_
22,5.82,0.48485835398355825,22,5_b_
23,6.02,0.5067329011403567,23,5_b_
24,6.02,0.5064039605857638,24,5_b_
25,6.21,0.49258845654723893,25,5_b_
26,6.41,0.504265845291011,26,5_b_
27,6.61,0.5070618410010401,27,5_b_
28,6.81,0.471536261534792,28,5_b_
29,7.0,0.4521287685095711,29,5_b_
30,7.2,0.4718652008430695,30,5_b_
31,7.4,0.4764703690679005,31,5_b_
32,7.59,0.42926740073851166,32,5_b_
33,7.79,0.43370809761230783,33,5_b_
34,7.99,0.44143820172055137,34,5_b_
35,8.19,0.42318200004469775,35,5_b_
36,8.38,0.4230175293357563,36,5_b_
37,8.58,0.45673393707020005,37,5_b_
38,8.78,0.4065705018246081,38,5_b_
39,8.97,0.4103533188340543,39,5_b_
40,9.17,0.41183355121315146,40,5_b_
41,9.37,0.40591262114748833,41,5_b_
42,9.57,0.39374182137769964,42,5_b_
43,9.77,0.4082152041796026,43,5_b_
44,9.97,0.40081404256034625,44,5_b_
45,10.16,0.38699853989510435,45,5_b_
46,10.36,0.3764724431650913,46,5_b_
47,10.56,0.39259052890245055,47,5_b_
48,10.76,0.3822289017475845,48,5_b_
49,10.95,0.388149831267752,49,5_b_
50,11.15,0.38831430141577233,50,5_b_
51,11.35,0.3791039674677282,51,5_b_
52,11.55,0.37926843717803377,52,5_b_
53,11.74,0.35870965318702175,53,5_b_
54,11.94,0.3697291608741424,54,5_b_
55,12.14,0.35854518248548783,55,5_b_
56,12.34,0.3647950535641673,56,5_b_
57,12.53,0.35838071265376903,57,5_b_
58,12.73,0.363643761806859,58,5_b_
59,12.93,0.3652884643868203,59,5_b_
60,13.13,0.3619990585341355,60,5_b_
61,13.13,0.3641371720967769,61,5_b_
62,13.32,0.36430164303617874,62,5_b_
63,13.52,0.3606832960010483,63,5_b_
64,13.72,0.3580517722815172,64,5_b_
65,13.91,0.3473612042942736,65,5_b_
66,14.11,0.34949931721336164,66,5_b_
67,14.31,0.3519663717839531,67,5_b_
68,14.51,0.35328213356390203,68,5_b_
69,14.71,0.35278872323996024,69,5_b_
70,14.9,0.3452230912211902,70,5_b_
71,15.1,0.3391376910818808,71,5_b_
72,15.3,0.33699957784527,72,5_b_
73,15.5,0.3342035826133005,73,5_b_
74,15.7,0.35591365847175427,74,5_b_
75,15.89,0.33699957728857577,75,5_b_
76,16.09,0.3323944102134029,76,5_b_
77,16.29,0.34555203199493145,77,5_b_
78,16.48,0.3320654692816891,78,5_b_
79,16.68,0.3369995769374122,79,5_b_
80,16.88,0.3212104314668419,80,5_b_
81,17.08,0.3338746423717738,81,5_b_
82,17.27,0.3368351072942038,82,5_b_
83,17.47,0.3356838155044891,83,5_b_
84,17.67,0.3198946697081222,84,5_b_
85,17.67,0.3261445400938259,85,5_b_
86,17.87,0.31545397232000516,86,5_b_
87,18.07,0.3299273560571067,87,5_b_
88,18.26,0.3147960910702871,88,5_b_
89,18.46,0.3360127558433032,89,5_b_
90,18.46,0.33650616666370103,90,5_b_
91,18.66,0.29686883174482265,91,5_b_
92,18.86,0.31890784886828866,92,5_b_
93,19.05,0.32795371218916824,93,5_b_
94,19.25,0.32055255103923946,94,5_b_
95,19.45,0.31496056146147083,95,5_b_
96,19.65,0.3205525515381215,96,5_b_
97,19.84,0.31413821068159764,97,5_b_
98,20.04,0.3031187026614556,98,5_b_
99,20.24,0.2995003562950996,99,5_b_
100,20.44,0.3149605618532468,100,5_b_
101,20.64,0.3190723186977868,101,5_b_
102,20.83,0.30410552366814136,102,5_b_
103,20.83,0.30443446421375037,103,5_b_
104,21.03,0.3052568157306731,104,5_b_
105,21.23,0.31430268101943876,105,5_b_
106,21.43,0.3059146968350273,106,5_b_
107,21.62,0.30903963225168535,107,5_b_
108,21.82,0.3032831723549587,108,5_b_
109,22.02,0.32104596216217196,109,5_b_
110,22.22,0.318085497175624,110,5_b_
111,22.42,0.3011450597574872,111,5_b_
112,22.61,0.3194012599739371,112,5_b_
113,22.81,0.27236276198356046,113,5_b_
114,23.01,0.300158237523738,114,5_b_
115,23.2,0.3062436372660791,115,5_b_
116,23.2,0.3062436372660791,116,5_b_
