,time,amp,number,rate
0,1.98,1.0930691765507028,0,10_b_
1,2.08,0.5799220314435493,1,10_b_
2,2.19,0.4702204175885697,2,10_b_
3,2.29,0.41166903198420846,3,10_b_
4,2.39,0.3843669829767097,4,10_b_
5,2.49,0.36397268030217744,5,10_b_
6,2.59,0.34538754750288203,6,10_b_
7,2.69,0.3360127472371067,7,10_b_
8,2.79,0.3286115892602419,8,10_b_
9,2.89,0.34588097203174867,9,10_b_
10,2.99,0.2846980330825728,10,10_b_
11,3.09,0.3088751654772385,11,10_b_
12,3.2,0.30788834537511567,12,10_b_
13,3.2,0.30443446960111165,13,10_b_
14,3.2,0.3004871830045218,14,10_b_
15,3.3,0.2955530760842379,15,10_b_
16,3.4,0.28831638549061805,16,10_b_
17,3.5,0.2937439056062512,17,10_b_
18,3.5,0.2929215542256112,18,10_b_
19,3.6,0.32894054523548133,19,10_b_
20,3.6,0.31594739336206623,20,10_b_
21,3.7,0.2271334452191655,21,10_b_
22,3.8,0.3292694871230474,22,10_b_
23,3.9,0.2457185870712099,23,10_b_
24,4.0,0.22894261936950033,24,10_b_
25,4.11,0.24802117130275517,25,10_b_
26,4.21,0.20821936502530486,26,10_b_
27,4.31,0.22170592784149706,27,10_b_
28,4.42,0.299500369180041,28,10_b_
29,4.51,0.21989675515098592,29,10_b_
30,4.62,0.22187039853042848,30,10_b_
31,4.71,0.19094998680183592,31,10_b_
32,4.82,0.21052194912405547,32,10_b_
33,4.92,0.21644287908549925,33,10_b_
34,5.02,0.21216665175740357,34,10_b_
35,5.12,0.2103574786074642,35,10_b_
36,5.12,0.21101535970979934,36,10_b_
37,5.12,0.2141402949467365,37,10_b_
38,5.22,0.21085088934201998,38,10_b_
39,5.22,0.2110153596175551,39,10_b_
40,5.22,0.21414029485346212,40,10_b_
41,5.33,0.22515980325849533,41,10_b_
42,5.43,0.2008182026748859,42,10_b_
43,5.53,0.19308809966920557,43,10_b_
44,5.63,0.1934170399652402,44,10_b_
45,5.73,0.18601587778815015,45,10_b_
46,5.83,0.18700269918937673,46,10_b_
47,5.93,0.19687091565181036,47,10_b_
48,5.93,0.19802220757697464,48,10_b_
49,6.03,0.1845356448554802,49,10_b_
50,6.04,0.19029210446779316,50,10_b_
51,6.14,0.20016032078788182,51,10_b_
52,6.24,0.18963422323723067,52,10_b_
53,6.34,0.1759831904897759,53,10_b_
54,6.44,0.18437117414153006,54,10_b_
55,6.54,0.17960153618426478,55,10_b_
56,6.65,0.19868008785716934,56,10_b_
57,6.75,0.1937459792785382,57,10_b_
58,6.85,0.18042388725675507,58,10_b_
59,6.95,0.1644702708254108,59,10_b_
60,7.05,0.18881187106900033,60,10_b_
61,7.15,0.17910812497203324,61,10_b_
62,7.26,0.18601587635283107,62,10_b_
63,7.35,0.16512815145675358,63,10_b_
64,7.46,0.15394417302578572,64,10_b_
65,7.56,0.18042388674259413,65,10_b_
66,7.66,0.1901276330627232,66,10_b_
67,7.76,0.17351613522757767,67,10_b_
68,7.86,0.17006225937241837,68,10_b_
69,7.96,0.1587138103116571,69,10_b_
70,8.07,0.16923990775311357,70,10_b_
71,8.17,0.1748318968922426,71,10_b_
72,8.27,0.15443758315771233,72,10_b_
73,8.37,0.09309017181787288,73,10_b_
74,8.47,0.15953616135168258,74,10_b_
75,8.57,0.16085192344504967,75,10_b_
76,8.68,0.15558887481217687,76,10_b_
77,8.78,0.1666083829587054,77,10_b_
78,8.88,0.12055670691768212,78,10_b_
79,8.98,0.13947078816054806,79,10_b_
80,8.98,0.17039119932192637,80,10_b_
81,9.08,0.12170799868474273,81,10_b_
82,9.19,0.17154249103717864,82,10_b_
83,9.29,0.15838486941575142,83,10_b_
84,9.39,0.18321988047355545,84,10_b_
85,9.49,0.16364791798751507,85,10_b_
86,9.59,0.1578914581633173,86,10_b_
87,9.69,0.15460205270975533,87,10_b_
88,9.79,0.17335166400898216,88,10_b_
89,9.9,0.16545709117641844,89,10_b_
90,10.0,0.1491745339264755,90,10_b_
91,10.1,0.10920825816343484,91,10_b_
92,10.2,0.151641588078544,92,10_b_
93,10.31,0.15608228520983108,93,10_b_
94,10.41,0.15789145847297614,94,10_b_
95,10.51,0.15295735009997596,95,10_b_
96,10.61,0.15920722032580809,96,10_b_
97,10.71,0.14703642042343176,97,10_b_
98,10.81,0.1580559283799532,98,10_b_
99,10.91,0.1134844846966332,99,10_b_
100,11.01,0.18585140397658076,100,10_b_
101,11.12,0.1610163931729307,101,10_b_
102,11.22,0.17581871759575174,102,10_b_
103,11.32,0.1611808632682797,103,10_b_
104,11.42,0.10542544155137713,104,10_b_
105,11.52,0.16019404138515123,105,10_b_
106,11.63,0.15608228473247138,106,10_b_
107,11.73,0.14604959828258196,107,10_b_
108,11.83,0.13256303613424036,108,10_b_
109,11.93,0.13716820375492242,109,10_b_
110,12.03,0.16183874423392033,110,10_b_
111,12.13,0.1511481766959631,111,10_b_
112,12.23,0.1725293119310848,112,10_b_
113,12.34,0.11496471722493241,113,10_b_
114,12.44,0.14308913376013904,114,10_b_
115,12.54,0.16101639297765494,115,10_b_
116,12.64,0.15328629036838018,116,10_b_
117,12.74,0.17450295541132316,117,10_b_
118,12.85,0.14489830667739523,118,10_b_
119,12.95,0.17187143114987566,119,10_b_
120,13.05,0.16923990681534307,120,10_b_
121,13.05,0.17269378253074064,121,10_b_
