,time,amp,number,rate
0,3.53,0.7591946783882941,0,1_b_
1,4.58,0.5878166974731831,1,1_b_
2,5.63,0.5837049433866827,2,1_b_
3,6.68,0.5642974537108253,3,1_b_
4,7.72,0.56248828168251,4,1_b_
5,8.77,0.6095267824764622,5,1_b_
6,9.82,0.5420939707031379,6,1_b_
7,9.82,0.5427518517873368,7,1_b_
8,10.86,0.5341993990322722,8,1_b_
9,10.86,0.5346928098453784,9,1_b_
10,11.91,0.5233443615262197,10,1_b_
11,12.95,0.5169300223435263,11,1_b_
12,14.0,0.5151208495872395,12,1_b_
13,15.05,0.5095288625669486,13,1_b_
14,16.09,0.5067328677446102,14,1_b_
15,17.14,0.49653571154538123,15,1_b_
16,18.18,0.4978514736045513,16,1_b_
17,19.23,0.48847666985268806,17,1_b_
18,20.28,0.4838715020949277,18,1_b_
19,21.32,0.4967001833956818,19,1_b_
20,22.36,0.4766348120180369,20,1_b_
21,22.36,0.47647034174736563,21,1_b_
22,23.41,0.4769637533343106,22,1_b_
23,24.45,0.4779505744094633,23,1_b_
24,25.5,0.4772926946459171,24,1_b_
25,26.54,0.4735098779938929,25,1_b_
26,27.59,0.4707138841265423,26,1_b_
27,28.64,0.4636416619009196,27,1_b_
28,29.68,0.47712822484393386,28,1_b_
29,30.73,0.47087835481230267,29,1_b_
30,31.77,0.4736743481163254,30,1_b_
31,32.82,0.4692336521511366,31,1_b_
32,33.86,0.45788520439628627,32,1_b_
33,34.91,0.46265484008346425,33,1_b_
34,35.95,0.4613390793676721,34,1_b_
35,37.0,0.4534445073221369,35,1_b_
36,38.04,0.45689838305498737,36,1_b_
37,39.09,0.45443132929825486,37,1_b_
38,40.13,0.45278662600475617,38,1_b_
39,41.18,0.4494972216404698,39,1_b_
40,42.22,0.4471946384711648,40,1_b_
41,43.27,0.4527866271031279,41,1_b_
42,43.27,0.45229321629052166,42,1_b_
43,44.31,0.44390523278185734,43,1_b_
44,45.36,0.44916828079787985,44,1_b_
45,46.4,0.4434118219242682,45,1_b_
46,47.45,0.44538546553812797,46,1_b_
47,48.49,0.4434118226075456,47,1_b_
48,49.54,0.44341182235755705,48,1_b_
49,50.58,0.44571440589670075,49,1_b_
50,51.63,0.4411092381363063,50,1_b_
51,52.67,0.4412737094941846,51,1_b_
52,52.67,0.4391355959740957,52,1_b_
53,53.72,0.44143817851775835,53,1_b_
54,54.76,0.4394645366727071,54,1_b_
55,55.81,0.4277871476592108,55,1_b_
56,56.85,0.441767120823821,56,1_b_
57,57.9,0.44587887589226316,57,1_b_
58,58.94,0.44357629267379195,58,1_b_
59,59.98,0.4393000651835647,59,1_b_
60,61.03,0.43403701780647175,60,1_b_
61,62.08,0.43864218426035967,61,1_b_
62,63.12,0.44637228773310944,62,1_b_
63,64.17,0.43535277932368316,63,1_b_
64,65.21,0.43913559550144743,64,1_b_
65,66.26,0.4333791378275006,65,1_b_
66,67.3,0.4289384402102848,66,1_b_
67,68.35,0.42828055827246236,67,1_b_
68,69.39,0.4248266831415839,68,1_b_
69,70.44,0.4355172513494688,69,1_b_
70,71.48,0.4302542022002518,70,1_b_
71,72.53,0.433708078281427,71,1_b_
72,73.57,0.422524100563487,72,1_b_
73,74.61,0.4304186723830647,73,1_b_
74,74.61,0.431076553465621,74,1_b_
75,74.61,0.4299252615712089,75,1_b_
76,75.66,0.43058314282933047,76,1_b_
77,76.71,0.4274582075345831,77,1_b_
78,77.75,0.43305019717603416,78,1_b_
79,78.79,0.42301751088119965,79,1_b_
80,79.84,0.436833012363134,80,1_b_
81,80.88,0.43288572650927964,81,1_b_
82,81.93,0.4236753922649493,82,1_b_
83,82.97,0.42844502896060865,83,1_b_
84,84.02,0.42926738125319047,84,1_b_
85,85.06,0.42416880363475234,85,1_b_
86,86.11,0.42005704652553455,86,1_b_
87,87.15,0.42367539271539545,87,1_b_
88,88.2,0.42219516019325243,88,1_b_
89,89.24,0.41956363481460346,89,1_b_
90,90.29,0.4193991656135022,90,1_b_
