,time,amp,number,rate
0,2.6,1.7732563036347737,0,2
1,3.1,1.365457601169601,1,2
2,3.58,1.2541355549962814,2,2
3,4.08,1.1701097550440438,3,2
4,4.57,1.1150244268429874,4,2
5,5.06,1.0331364221502106,5,2
6,5.55,1.0431668670232455,6,2
7,6.05,0.99350788320196,7,2
8,6.54,0.9836418510469784,8,2
9,7.03,0.9535504935302047,9,2
10,7.52,0.9417112437704647,10,2
11,8.02,0.9371071080067152,11,2
12,8.51,0.9058646941982791,12,2
13,9.0,0.9073445933269544,13,2
14,9.49,0.8958341981294251,14,2
15,9.99,0.8892568690304193,15,2
16,10.48,0.836802537080007,16,2
17,10.97,0.8731423679990188,17,2
18,11.47,0.8433798687164953,18,2
19,11.96,0.8479840233753823,19,2
20,12.45,0.8239766973195851,20,2
21,12.94,0.8570278309411762,21,2
22,13.44,0.818221502739549,22,2
23,13.93,0.8318694625459178,23,2
24,14.42,0.8121374563644813,24,2
25,14.91,0.803586880301616,25,2
26,15.41,0.814932812370661,26,2
27,15.91,0.7780996739767843,27,2
28,16.39,0.7953652166469224,28,2
29,16.89,0.7618207521916159,29,2
30,17.38,0.8007914956716726,30,2
31,17.87,0.7693846934314702,31,2
32,18.36,0.7956940424572848,32,2
33,18.86,0.7708645966395925,33,2
34,19.35,0.7815527477163385,34,2
35,19.85,0.7909254697992655,35,2
36,20.33,0.7580387411464027,36,2
37,20.83,0.7833615111244975,37,2
38,21.33,0.727782980687345,38,2
39,21.81,0.7835259448643308,39,2
40,22.31,0.7397866254417489,40,2
41,22.8,0.7754686982918608,41,2
42,23.3,0.7647805091898526,42,2
43,23.78,0.7557366617012613,43,2
44,24.28,0.7608341022125473,44,2
45,24.28,0.7606696687384984,45,2
46,24.77,0.7307427532804812,46,2
47,25.26,0.7642872092839827,47,2
48,25.76,0.7213700479174929,48,2
49,26.25,0.7611629714727445,49,2
50,26.75,0.7279473839632818,50,2
51,26.75,0.7174236415554388,51,2
52,27.24,0.752612415818235,52,2
53,27.73,0.7376489654053532,53,2
54,28.22,0.7307427466659793,54,2
55,28.72,0.7486660152071036,55,2
56,29.21,0.7096952505627621,56,2
57,29.7,0.7540923201069969,57,2
58,29.7,0.7534345862106878,58,2
59,30.2,0.7055844094110868,59,2
60,30.69,0.7458706358911824,60,2
61,31.18,0.7235076677262613,61,2
62,31.67,0.7231788007769709,62,2
63,32.17,0.743897430492183,63,2
64,32.66,0.7041045034261704,64,2
65,33.15,0.7386355603038167,65,2
66,33.15,0.7392932942011237,66,2
67,33.65,0.6917719837168935,67,2
68,34.14,0.7407731922691883,68,2
69,34.63,0.6996647896070116,69,2
70,35.12,0.7309071772227025,70,2
71,35.62,0.717588054741033,71,2
72,36.11,0.7236720909235007,72,2
73,36.6,0.7292628407831857,73,2
74,37.1,0.6886477476808712,74,2
75,37.59,0.7364979231668131,75,2
76,38.08,0.682234838687216,76,2
77,38.58,0.733209249026334,77,2
78,39.07,0.6973627214167881,78,2
79,39.56,0.7154504134249063,79,2
80,40.06,0.7103529721967983,80,2
81,40.55,0.7031178863897258,81,2
82,41.04,0.7200545476579054,82,2
83,41.53,0.686510092387799,83,2
84,42.03,0.7276184938307085,84,2
85,42.52,0.6784528521043732,85,2
